,CreditCardF SSE (left),BreastC SSE (left)
2,3474.354235066702,2868.729028834462
3,2853.159154972763,2494.883018062749
4,2423.3108569488327,2259.091783229052
5,2118.3571246369447,2054.444807375906
6,1985.029054674313,1935.9903654842465
7,1850.5554198126692,1820.9428248801935
8,1715.3286072114306,1724.4738515144727
9,1572.823275873798,1625.2282212840905
10,1475.9297724769203,1566.0320602612837
