,CreditCardF log-likelihood,BreastC log-likelihood
2,-6.940435176285048,-8.805001463019648
3,-6.191831066924197,-8.635326166404093
4,-6.184738311360569,-8.300017809291296
5,-5.7672771472297315,-8.110684359533632
6,-5.689650218987481,-8.023125721170802
7,-4.886736863202089,-7.843862717949807
8,-5.1362302248428975,-7.537410358688206
9,-4.860254488282288,-7.476699731509223
10,-4.785731232626216,-7.278752006994909
