k,BC_kmean,BC_em,CCF_kmean,CCF_em
2,0.8061122894287109,0.11305904388427734,0.9675381183624268,0.09349226951599121
3,0.7790799140930176,0.11661791801452637,0.7977468967437744,0.10958003997802734
4,0.8627347946166992,0.12349128723144531,0.7863559722900391,0.11318254470825195
5,0.7907936573028564,0.13545918464660645,0.8552911281585693,0.12050604820251465
6,0.7936394214630127,0.15241432189941406,0.8375768661499023,0.20257258415222168
7,0.814917802810669,0.16529321670532227,0.8221924304962158,0.19668078422546387
8,0.8146560192108154,0.13698959350585938,0.8276088237762451,0.18279123306274414
9,0.8305683135986328,0.16904044151306152,0.852985143661499,0.1560220718383789
10,0.7735440731048584,0.1624431610107422,0.8180735111236572,0.19306397438049316
