,0
1,13.443385669141193
2,5.800288631498456
3,2.6624226919880263
4,1.9997137598043155
5,1.6829788080759236
6,1.2162413195648218
7,0.6281242149105318
8,0.4701665222721425
9,0.4029813502894126
10,0.3290076632574758
11,0.30650528468672206
12,0.2521093513750823
13,0.24012568842761312
14,0.16115841834524536
15,0.09748666587916613
16,0.07281745435863851
17,0.056556209944965255
18,0.04925569518007595
19,0.0435025377593302
20,0.03219936657739669
21,0.028076073669642966
22,0.023143371172106592
23,0.02009479498624536
24,0.01691740921451112
25,0.014533352742841217
26,0.0077156878166465435
27,0.006219543760117498
28,0.0014371074578382055
29,0.0007708775415767167
30,0.00014377345615077246
