,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01754484176635742,0.004459159489061377,0.00017061233520507813,1.6610504513811264e-05,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 2}",0.9560439560439561,0.9560439560439561,0.9340659340659341,0.9230769230769231,0.9560439560439561,0.945054945054945,0.013900121583157714,10
1,0.032225179672241214,0.015915961403164945,0.00018086433410644532,1.0103548155326102e-05,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 3}",0.967032967032967,0.945054945054945,0.9230769230769231,0.9340659340659341,0.9230769230769231,0.9384615384615385,0.016446845656149175,11
2,0.007401180267333984,0.000587543537814232,0.00016679763793945313,1.0165246703446564e-05,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 4}",0.989010989010989,0.9560439560439561,0.967032967032967,0.9560439560439561,0.967032967032967,0.9670329670329672,0.012037858406706946,4
3,0.006732034683227539,0.0007873994450932802,0.00015473365783691406,1.208384766411939e-05,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 5}",0.967032967032967,0.967032967032967,0.967032967032967,0.9560439560439561,0.967032967032967,0.9648351648351647,0.00439560439560438,7
4,0.007932949066162109,0.002079501232901332,0.00016388893127441406,5.989196192973167e-06,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 6}",0.945054945054945,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.967032967032967,0.9494505494505494,0.01490621974313245,9
5,0.014015293121337891,0.00819268948999054,0.00017542839050292968,1.0679875024987087e-05,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 7}",0.989010989010989,0.967032967032967,0.945054945054945,1.0,0.978021978021978,0.9758241758241759,0.018906209378115674,1
6,0.010801029205322266,0.003930975019386144,0.0001705169677734375,1.2797015902202882e-05,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 8}",0.978021978021978,0.9230769230769231,0.9560439560439561,0.978021978021978,0.989010989010989,0.964835164835165,0.02346610604842044,5
7,0.011881256103515625,0.003870958501285994,0.00017271041870117187,1.728072597954505e-05,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 9}",1.0,0.9560439560439561,0.9560439560439561,0.989010989010989,0.978021978021978,0.9758241758241759,0.017582417582417565,1
8,0.01243138313293457,0.0023122553225146244,0.00018258094787597655,1.0877114428014967e-05,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 10}",0.9560439560439561,0.9560439560439561,0.9560439560439561,0.945054945054945,0.967032967032967,0.956043956043956,0.006950060791578866,8
9,0.012540388107299804,0.0024112456951809165,0.00018286705017089844,9.76061319849907e-06,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 12}",0.989010989010989,0.9340659340659341,0.9560439560439561,0.978021978021978,0.989010989010989,0.9692307692307693,0.021308482889742106,3
10,0.009348630905151367,0.0021843272603523406,0.0001644134521484375,1.2673108118614053e-05,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 15}",0.989010989010989,0.9560439560439561,0.9230769230769231,0.967032967032967,0.989010989010989,0.964835164835165,0.024473689506945145,5
