,0
1,11.492796855289017
2,3.240624311105127
3,2.05592687441138
4,1.6129567838974894
5,1.5412578950358362
6,1.2666768526570675
7,1.173981771942233
8,1.0233004298754313
9,0.9478593676827447
10,0.848968283589435
11,0.8100075721427958
12,0.7121305516000821
13,0.5652943746706317
14,0.5082791846241071
15,0.41056539288636734
16,0.36114156738449354
17,0.30209059408467087
18,0.2341846137123564
19,0.18947133005885325
20,0.15785167812337383
21,0.11715607137269451
22,0.09502433466370525
23,0.07588287867181744
24,0.07150266599363875
25,0.05480597779678688
26,0.05295655573951961
27,0.04479837268497416
28,0.039336909239667824
29,0.026056963360453565
30,0.005280924634560498
