,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008028030395507812,0.0005082682625909544,0.00012760162353515626,2.5339756499455305e-06,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 2}",0.8924050632911392,0.9050632911392406,0.9299363057324841,0.9235668789808917,0.8535031847133758,0.9008949447714263,0.02717664205769359,11
1,0.008879947662353515,0.0009475131500101564,0.00014739036560058595,2.3539726888861185e-05,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 3}",0.8924050632911392,0.9050632911392406,0.9554140127388535,0.9044585987261147,0.8662420382165605,0.9047166008223817,0.028990620063663156,10
2,0.07798914909362793,0.04055139647987889,0.0002170562744140625,0.0001399554507194827,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 4}",0.8924050632911392,0.9050632911392406,0.9363057324840764,0.9171974522292994,0.89171974522293,0.9085382568733371,0.016740561652193273,9
3,0.03601517677307129,0.022636163540995846,0.0001476287841796875,1.1940368061744339e-05,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 5}",0.9050632911392406,0.9177215189873418,0.9426751592356688,0.9235668789808917,0.89171974522293,0.9161493187132145,0.017209394514261053,7
4,0.05776262283325195,0.023121389408171808,0.00023789405822753905,0.0001259447266803391,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 6}",0.8987341772151899,0.9113924050632911,0.9426751592356688,0.9235668789808917,0.9044585987261147,0.9161654438442313,0.015628355193902353,6
5,0.07145981788635254,0.03971388477041993,0.0002701282501220703,0.00025238306554084804,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 7}",0.930379746835443,0.9240506329113924,0.9490445859872612,0.8980891719745223,0.910828025477707,0.9224784326372653,0.01732761441303733,1
6,0.08650236129760742,0.03951899858601875,0.00015439987182617188,3.15794385715455e-06,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 8}",0.9113924050632911,0.930379746835443,0.9490445859872612,0.89171974522293,0.9044585987261147,0.917399016367008,0.020163829966800495,5
7,0.08354897499084472,0.07253795173032218,0.00015239715576171876,9.005029017725278e-06,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 9}",0.9240506329113924,0.930379746835443,0.9490445859872612,0.910828025477707,0.8980891719745223,0.9224784326372653,0.01732761441303733,1
8,0.09509220123291015,0.07613185206176325,0.00020341873168945314,0.00010441475187081914,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 10}",0.9240506329113924,0.9240506329113924,0.9171974522292994,0.910828025477707,0.9044585987261147,0.9161170684511811,0.0076281585078211925,8
9,0.09023375511169433,0.024595014989698,0.00022530555725097656,0.00013044028411190743,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 12}",0.930379746835443,0.9240506329113924,0.9490445859872612,0.9044585987261147,0.8853503184713376,0.91865677658631,0.021912777479910557,4
10,0.14799585342407226,0.062400869405260004,0.00015802383422851561,8.373075843808306e-06,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 15}",0.930379746835443,0.9240506329113924,0.9426751592356688,0.910828025477707,0.8980891719745223,0.9212045472869466,0.015461335312843306,3
