k,BC_kmean,BC_em,CCF_kmean,CCF_em
2,1.2467529773712158,0.16706490516662598,1.373319387435913,0.1748976707458496
3,1.2033734321594238,0.20214033126831055,1.2994332313537598,0.2187483310699463
4,1.3178493976593018,0.23023748397827148,1.3974969387054443,0.20483684539794922
5,1.2659568786621094,0.22547650337219238,1.2064299583435059,0.2253711223602295
6,1.3099400997161865,0.2077639102935791,1.2954118251800537,0.5917387008666992
7,1.2896912097930908,0.23374390602111816,1.3198256492614746,0.3166158199310303
8,1.2109489440917969,0.24487996101379395,1.4328961372375488,0.3459634780883789
9,1.284447431564331,0.21944785118103027,1.399674654006958,0.41514134407043457
10,1.2790496349334717,0.37378525733947754,1.3750016689300537,0.3325061798095703
