,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0454465389251709,0.02529126816397231,0.000174713134765625,1.7170375724680938e-05,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 2}",0.978021978021978,0.967032967032967,0.8461538461538461,0.8901098901098901,0.9340659340659341,0.923076923076923,0.04914435115384154,9
1,0.014261960983276367,0.0011963323739176538,0.00017709732055664061,1.772231228809475e-05,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 3}",0.945054945054945,0.9560439560439561,0.9230769230769231,0.945054945054945,0.9560439560439561,0.945054945054945,0.012037858406706946,7
2,0.02054276466369629,0.007416049861968935,0.00016326904296875,1.6871816714106397e-05,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 4}",0.989010989010989,0.9120879120879121,0.9010989010989011,0.8571428571428571,0.9560439560439561,0.923076923076923,0.04557459638094007,9
3,0.012531232833862305,0.0010259990837321105,0.00016717910766601564,8.008025438396732e-06,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 5}",0.945054945054945,0.9340659340659341,0.8791208791208791,0.967032967032967,0.967032967032967,0.9384615384615385,0.03230096364109686,8
4,0.01348576545715332,0.002863424968108104,0.0001655101776123047,1.177449892202451e-05,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 6}",0.967032967032967,0.9120879120879121,0.945054945054945,0.945054945054945,0.967032967032967,0.9472527472527472,0.02014318986793777,6
5,0.0227020263671875,0.011402294665095762,0.00017557144165039062,7.476770147896285e-06,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 7}",1.0,0.945054945054945,0.9230769230769231,0.9560439560439561,0.945054945054945,0.9538461538461538,0.025441399786352136,4
6,0.024823665618896484,0.005735125591147137,0.0003067493438720703,0.00024481469841569175,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 8}",0.967032967032967,0.978021978021978,0.945054945054945,0.978021978021978,0.989010989010989,0.9714285714285715,0.01490621974313247,1
7,0.018876409530639647,0.0045335953590037266,0.000173187255859375,8.925393040549575e-06,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 9}",1.0,0.978021978021978,0.9340659340659341,0.978021978021978,0.9560439560439561,0.9692307692307693,0.022413272587221016,2
8,0.015369367599487305,0.0009401842081801921,0.00016922950744628905,7.496207717842427e-06,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 10}",1.0,0.978021978021978,0.9120879120879121,0.9120879120879121,0.945054945054945,0.9494505494505494,0.03516483516483517,5
9,0.0217254638671875,0.010711814407399175,0.0001708507537841797,1.5126789878194614e-05,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 12}",0.9560439560439561,0.9560439560439561,0.8791208791208791,0.8351648351648352,0.8791208791208791,0.9010989010989011,0.04764721623885452,11
10,0.025807571411132813,0.006469736721639822,0.00016465187072753907,6.991154788250447e-06,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 15}",0.989010989010989,0.967032967032967,0.9230769230769231,0.989010989010989,0.978021978021978,0.9692307692307693,0.024473689506945142,2
