,0
2,27.51721062569089
3,48.06479700980369
4,41.03886738301779
5,36.51825499268948
6,33.893381374534236
7,31.899531740514668
8,31.747916818225022
9,31.030009464169066
10,28.224727119561855
12,33.48329592526441
15,33.03647717620579
