,0
1,0.2056580297901898
2,0.13251532661032356
3,0.1079505410334481
4,0.0787351600787253
5,0.07792556502191864
6,0.07442263895469509
7,0.054999832608305675
8,0.038440118043295814
9,0.032984098041811266
10,0.02437425995816174
11,0.018721262525120727
12,0.016265644317807786
13,0.012653568242013998
14,0.01246751200739349
15,0.010744038394299816
16,0.009079353738629859
17,0.008366887248616832
18,0.007831386014766769
19,0.007794980717664218
20,0.0077803298757329565
21,0.007308733477688661
22,0.006895427350598698
23,0.006751754807416691
24,0.006689572005433674
25,0.0061222490566769025
26,0.005853611448861227
27,0.005481734444202927
28,0.00532360022154541
29,0.005162997614479522
30,0.004699786350174938
