,0
1,0.12872221160074235
2,0.12179578605230391
3,0.11457733089200908
4,0.09255602987673286
5,0.08251767002631435
6,0.07478458671824277
7,0.06229527261772931
8,0.04884188221441312
9,0.036209038377666834
10,0.03529652731278719
11,0.03470078603285682
12,0.021968015079384822
13,0.01865945615800352
14,0.016159850489105836
15,0.01357968169793716
16,0.013412638413519135
17,0.0122319088952394
18,0.010979672082088087
19,0.010086733136642068
20,0.007163820154166019
21,0.005564362360249221
22,0.005533170736703059
23,0.005370199477349427
24,0.005120674882502766
25,0.005013914181600393
26,0.004180669858718825
27,0.0035567970029206984
28,0.0032781315138391935
29,0.003013358685065196
30,0.0028298234731666725
