,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.17801599502563475,0.23526183431838776,0.014848947525024414,0.001432191807590519,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 2}",0.9050632911392406,0.930379746835443,0.9617834394904459,0.9171974522292994,0.8980891719745223,0.9225026203337903,0.02250921299248086,11
1,0.06244802474975586,0.003169723718708106,0.01456437110900879,0.0011483069501493851,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 3}",0.9240506329113924,0.9430379746835443,0.9681528662420382,0.9299363057324841,0.9044585987261147,0.9339272756591148,0.021148402873818056,1
2,0.06484546661376953,0.0030580111361496153,0.014013242721557618,0.000761789892319637,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 4}",0.930379746835443,0.9430379746835443,0.9490445859872612,0.9235668789808917,0.9044585987261147,0.9300975570426511,0.015662246870300732,7
3,0.06353750228881835,0.006355379860315293,0.018677234649658203,0.008586953188867109,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 5}",0.9113924050632911,0.9556962025316456,0.9426751592356688,0.9299363057324841,0.8789808917197452,0.923736192856567,0.026735647149627787,10
4,0.06408896446228027,0.002998600205891463,0.014131402969360352,0.0007634919460867374,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 6}",0.930379746835443,0.9430379746835443,0.9490445859872612,0.9235668789808917,0.9235668789808917,0.9339192130936065,0.010380733911062956,3
5,0.06199183464050293,0.001876208619621046,0.014605283737182617,0.0010084879762174946,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 7}",0.9113924050632911,0.9430379746835443,0.9490445859872612,0.9235668789808917,0.9044585987261147,0.9263000886882207,0.017344907812430248,9
6,0.06265120506286621,0.002045672075049678,0.014259529113769532,0.0007293791856411483,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 8}",0.930379746835443,0.9430379746835443,0.9490445859872612,0.9363057324840764,0.89171974522293,0.9300975570426511,0.02018871877068593,7
7,0.06366820335388183,0.002107952010895676,0.01453700065612793,0.0012031012239675635,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 9}",0.9240506329113924,0.9430379746835443,0.9490445859872612,0.9299363057324841,0.9235668789808917,0.9339272756591148,0.010318446012096633,1
8,0.06428632736206055,0.0022373315602722257,0.014556264877319336,0.0006435797939575469,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 10}",0.9240506329113924,0.9430379746835443,0.9490445859872612,0.9235668789808917,0.9171974522292994,0.9313795049584778,0.012360057555247656,5
9,0.06388378143310547,0.004929679257834079,0.014077138900756837,0.0006602826544837946,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 12}",0.930379746835443,0.9367088607594937,0.9617834394904459,0.910828025477707,0.9235668789808917,0.9326533903087963,0.016906136747749385,4
10,0.06415495872497559,0.0026500960372868557,0.014991521835327148,0.0015104932337392798,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 15}",0.9240506329113924,0.9493670886075949,0.9554140127388535,0.9235668789808917,0.9044585987261147,0.9313714423929694,0.018658483793031,6
