,CreditCardF SSE (left),BreastC SSE (left)
2,8761.717933487176,2834.159302515488
3,8126.361742145247,2598.6453660939096
4,7527.010637521131,2368.947049132153
5,7013.853490467143,2194.191495549368
6,6564.669696101273,2046.7667237141316
7,6197.780088159606,1896.346257416053
8,5465.389094592607,1778.4057142718611
9,5172.176581802432,1677.3000852449686
10,4903.99034130229,1590.9287302150296
