k,BC_kmean,BC_em,CCF_kmean,CCF_em
2,0.7752573490142822,0.10079193115234375,1.4555377960205078,0.17003107070922852
3,0.7700376510620117,0.12447381019592285,1.3656048774719238,0.17956137657165527
4,0.8306660652160645,0.10478949546813965,1.5611402988433838,0.20079398155212402
5,0.8181066513061523,0.12125372886657715,1.6306872367858887,0.25472116470336914
6,0.8100998401641846,0.11757302284240723,1.3910937309265137,0.19010400772094727
7,0.8186478614807129,0.1630091667175293,1.3766348361968994,0.2649977207183838
8,0.7542769908905029,0.12959718704223633,1.3488807678222656,0.2342994213104248
9,0.8211913108825684,0.1359086036682129,1.4029383659362793,0.30095815658569336
10,0.7841157913208008,0.15542268753051758,1.3268849849700928,0.2915935516357422
