,CreditCardF log-likelihood,BreastC log-likelihood
2,-13.349209355849576,-9.204145893669944
3,-11.194350848524593,-8.642316477902359
4,-9.5445121756725,-8.485603540550525
5,-8.974647745350762,-8.442188224298345
6,-8.60490533324033,-8.218743382493344
7,-7.830703039658048,-8.151495269712658
8,-8.573379957384823,-7.955528810527473
9,-7.128907711688683,-7.849451079627769
10,-6.894220005577207,-7.6685724101331445
