,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008767795562744141,0.003482354039522242,0.00024390220642089844,3.5977355686538265e-05,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 2}",0.9010989010989011,0.9230769230769231,0.8241758241758241,0.9230769230769231,0.9340659340659341,0.9010989010989012,0.039925059614472444,10
1,0.0060541629791259766,0.0004403427086888754,0.00024137496948242187,2.480268375261417e-05,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 3}",0.9560439560439561,0.9010989010989011,0.8241758241758241,0.8681318681318682,0.9120879120879121,0.8923076923076924,0.04417527745547646,11
2,0.007019996643066406,0.0007489612649098447,0.00021581649780273439,8.939138912544623e-06,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 4}",0.945054945054945,0.8461538461538461,0.9230769230769231,0.8791208791208791,0.945054945054945,0.9076923076923077,0.03906898644973885,9
3,0.005479049682617187,0.0002640281576782451,0.00019736289978027343,5.708917816717357e-06,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 5}",0.9560439560439561,0.945054945054945,0.8901098901098901,0.967032967032967,0.9560439560439561,0.9428571428571428,0.027274008013166748,4
4,0.006028556823730468,0.0013368900377890374,0.0002239704132080078,2.1839766514269204e-05,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 6}",0.978021978021978,0.9010989010989011,0.9120879120879121,0.9010989010989011,0.945054945054945,0.9274725274725274,0.029974025707661205,6
5,0.006051158905029297,0.0006183698212195008,0.00021462440490722657,2.301469252221343e-05,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 7}",0.967032967032967,0.945054945054945,0.8791208791208791,0.9340659340659341,0.8571428571428571,0.9164835164835164,0.041468048932116953,8
6,0.005366277694702148,0.0005776371246458999,0.00020699501037597657,1.418171748684046e-05,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 8}",0.989010989010989,0.967032967032967,0.9230769230769231,0.945054945054945,0.967032967032967,0.9582417582417584,0.02241327258722103,1
7,0.00509037971496582,0.00019677635026895725,0.00019769668579101564,7.84596385981357e-06,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 9}",0.967032967032967,0.9340659340659341,0.9560439560439561,0.967032967032967,0.967032967032967,0.9582417582417582,0.012815278889769889,2
8,0.0069561958312988285,0.0014561678292226952,0.00020923614501953126,1.4549863719573997e-05,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 10}",0.9560439560439561,0.9340659340659341,0.9340659340659341,0.945054945054945,0.8351648351648352,0.9208791208791208,0.043625128002811445,7
9,0.007307243347167969,0.0012626031215161673,0.00020570755004882811,1.4476857794530024e-05,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 12}",0.9560439560439561,0.9340659340659341,0.9120879120879121,0.945054945054945,0.945054945054945,0.9384615384615385,0.014906219743132469,5
10,0.007898569107055664,0.0017196733639880408,0.00024309158325195313,3.252036410684984e-05,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 15}",0.989010989010989,0.9560439560439561,0.9010989010989011,0.9010989010989011,0.978021978021978,0.945054945054945,0.037427222782255826,3
