,0,1,2,3,4,5,6,7,8,9
2,0.7063182167405349,0.6506361460685399,0.7179904640320168,0.5263744229220341,0.7017381202613353,0.6807793089530554,0.7742941416999416,0.7759435412385025,0.6539779924847932,0.5943636454773747
3,0.7499215654071433,0.8635308671326681,0.7452916283674877,0.7486078800038843,0.8421626863581724,0.8704717176469278,0.7848023979173604,0.7816416075606064,0.676143070212062,0.778899639003073
4,0.8804552993875642,0.8059050673591993,0.83535686545623,0.8175677526852547,0.6967703085628307,0.7855579074091779,0.7732468752762025,0.7730604135928927,0.8199198529645659,0.670017543897929
5,0.8291002984801213,0.8168814429769177,0.8258643026669543,0.8719039262583022,0.7931064288630741,0.8721370905868655,0.8553522460316322,0.8290107301886797,0.7906871289067486,0.7586742583091798
6,0.8667915905169219,0.8823071197525092,0.8475813873408726,0.8388928172993698,0.848478161633467,0.829073672710764,0.8912058099303245,0.83716296491218,0.8361004319047605,0.8362485968216338
7,0.8995492575618572,0.9179069516635799,0.8998493307878649,0.8976889951044359,0.8524008320279315,0.9103653095276517,0.9131476968572851,0.9009405088158194,0.8610003464728272,0.8767646631468661
8,0.8478337413558771,0.916018707362864,0.9009785983956864,0.8180280929813187,0.87893045730196,0.8549299790282121,0.8988925271111543,0.9335587064853759,0.9357174170848985,0.8354029976565965
9,0.9258782949430159,0.8885517389485047,0.9022920822588789,0.8655725837514493,0.9246604740402692,0.9233762900976421,0.8943592006120995,0.9206253358989073,0.8957531888545024,0.8880207924709503
10,0.9325458617562359,0.9102853231644064,0.9143150379240559,0.88201658538645,0.9308347081553942,0.9173677521904541,0.8863337707104654,0.8923209493898335,0.9411490760781017,0.8593939013869966
12,0.9408943319875985,0.9359095963469871,0.9222083574029248,0.8811988953494243,0.9473173396266117,0.9585215437044746,0.9031407615030408,0.8971015685392444,0.9155138862401754,0.9207531691665899
15,0.9170659671457793,0.8909032839607508,0.9121388068815556,0.914231192091212,0.9433030398157014,0.9467931604022809,0.9204078685161656,0.9620369675714319,0.9322880426322551,0.9299737322611509
