,0,1,2,3,4,5,6,7,8,9
2,0.9347341325811784,0.9651753401146671,0.9159490088916512,0.9544843592021843,0.9415435458536242,0.9180547521959628,0.9155691264908388,0.9209298211663489,0.9394039619091605,0.9521201011898068
3,0.9472736448355262,0.8969437935980019,0.8940930520703434,0.8805111693511664,0.8863390302650618,0.8402512228711007,0.8935629968556568,0.8414732913528312,0.9390527111891428,0.8867268957509562
4,0.8740910823030416,0.9016247564620534,0.8608036624766835,0.8841954933154297,0.9022661619863446,0.9083932901927544,0.8866172945988469,0.8697108973834774,0.8714669205033548,0.867917127395947
5,0.8264192962940519,0.8163067036675887,0.8107781753004635,0.8117146107237438,0.8815494904212232,0.8052050542863771,0.7740258667753093,0.8096066735519032,0.850323418570189,0.8396534752666852
6,0.8340607437391012,0.8300224093427584,0.8299823792296882,0.8314361880715369,0.8234063495792563,0.8199171445278368,0.7958097436745116,0.8087144816212668,0.8227987494288116,0.7559672154023387
7,0.7979804765886767,0.7943483685676396,0.7733096574828521,0.7641844770265269,0.7691908895309052,0.7364250140899996,0.742007544791874,0.7317430894147939,0.8054655301396199,0.7877470714480312
8,0.8017442533662502,0.7513308716773528,0.7369101702315544,0.78041584354341,0.7229780389054167,0.8038714413645681,0.7293817016605485,0.7309134721605307,0.6922344017521247,0.7646168503464706
9,0.7617065903481643,0.7372145061791366,0.6751815697015158,0.7459142386468532,0.7016815440297104,0.680633418785586,0.7148567507319915,0.6900120731538638,0.7357863564969513,0.7224765934823169
10,0.6070494774406316,0.7195737929343973,0.6859210868623696,0.6601636617083175,0.6549354210744845,0.646785897878041,0.6948663257816412,0.6639256004346947,0.6419116746605769,0.7441470552722546
12,0.5722143918832086,0.5946959885677822,0.5805751531903499,0.6804130760699582,0.5645912906161032,0.5649200487302154,0.657553877081066,0.6434069865669387,0.5748503081617021,0.6490230557220585
15,0.5610092149814767,0.45583323063200537,0.5658709173774575,0.48830816553081846,0.5060804703275057,0.5743810542503534,0.5352097408244483,0.4906659941953458,0.4804584714963196,0.47914580363093656
