,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01186676025390625,0.006660359116319608,0.0004238605499267578,0.0003232655750393333,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 2}",0.8227848101265823,0.879746835443038,0.8535031847133758,0.8280254777070064,0.8471337579617835,0.8462388131903573,0.020288792099083398,9
1,0.010522747039794922,0.0033681368066667077,0.00029144287109375,0.0001148162686501282,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 3}",0.8417721518987342,0.8860759493670886,0.9171974522292994,0.9044585987261147,0.8407643312101911,0.8780536966862856,0.03162485180233952,7
2,0.013462638854980469,0.0036144494147765625,0.00020856857299804686,5.549368486776793e-06,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 4}",0.7658227848101266,0.7531645569620253,0.7961783439490446,0.7579617834394905,0.7197452229299363,0.7585745384181247,0.02451098682414424,11
3,0.011757469177246094,0.0030054126308129347,0.0003022670745849609,0.0001566654560743197,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 5}",0.8987341772151899,0.9113924050632911,0.9044585987261147,0.8726114649681529,0.8662420382165605,0.8906877368378618,0.017929913061738217,5
4,0.0092376708984375,0.003380070528780259,0.0001995563507080078,2.0350949604867267e-05,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 6}",0.8354430379746836,0.8607594936708861,0.8789808917197452,0.8280254777070064,0.8152866242038217,0.8436991050552287,0.023051922418656036,10
5,0.00918436050415039,0.0018460233798867933,0.00021820068359375,2.848654077343138e-05,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 7}",0.8987341772151899,0.9430379746835443,0.9171974522292994,0.8853503184713376,0.8789808917197452,0.9046601628638232,0.02322693448376044,3
6,0.00799403190612793,0.001074540497048198,0.0001960277557373047,1.4978608096443901e-05,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 8}",0.8670886075949367,0.8291139240506329,0.8789808917197452,0.8280254777070064,0.8280254777070064,0.8462468757558655,0.02219671288735813,8
7,0.009946966171264648,0.0020772986991663316,0.00021462440490722657,1.5607514646776795e-05,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 9}",0.8481012658227848,0.8987341772151899,0.9299363057324841,0.8980891719745223,0.9044585987261147,0.8958639038942191,0.026567864907781867,4
8,0.01122732162475586,0.0029701452733048757,0.0002048969268798828,1.9822092563259603e-05,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 10}",0.8417721518987342,0.9113924050632911,0.9299363057324841,0.910828025477707,0.8407643312101911,0.8869386438764815,0.0379198287504938,6
9,0.009119606018066407,0.0014673497636343846,0.00018134117126464844,8.536051079541297e-06,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 12}",0.9050632911392406,0.9240506329113924,0.9490445859872612,0.9299363057324841,0.89171974522293,0.9199629121986617,0.01990777224144229,2
10,0.008327150344848632,0.0016839521059170712,0.00017919540405273438,9.677092640253557e-06,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 15}",0.9050632911392406,0.9240506329113924,0.9490445859872612,0.9299363057324841,0.9044585987261147,0.9225106828992986,0.0166844152178404,1
