k,BC_kmean,BC_em,CCF_kmean,CCF_em
2,0.7947943210601807,0.11887168884277344,0.9147136211395264,0.08811664581298828
3,0.7467129230499268,0.13590192794799805,0.6688516139984131,0.08849263191223145
4,0.7788243293762207,0.12079286575317383,0.7794375419616699,0.11621999740600586
5,0.8516032695770264,0.12253904342651367,0.7729012966156006,0.09645867347717285
6,0.810915470123291,0.18301773071289062,0.8218710422515869,0.11041045188903809
7,0.7821993827819824,0.12968015670776367,0.777207612991333,0.09742593765258789
8,0.7763185501098633,0.1399977207183838,0.797818660736084,0.10591959953308105
9,0.7898705005645752,0.14164376258850098,0.8065774440765381,0.12437963485717773
10,0.8290081024169922,0.16370081901550293,0.7563576698303223,0.11829972267150879
