k,BC_kmean,BC_em,CCF_kmean,CCF_em
2,0.7910282611846924,0.09932899475097656,0.9087717533111572,0.11410236358642578
3,0.8031406402587891,0.12104940414428711,0.8113689422607422,0.12540125846862793
4,0.774355411529541,0.11489057540893555,0.7240405082702637,0.09576272964477539
5,0.7985885143280029,0.1294877529144287,0.7664437294006348,0.10103750228881836
6,0.7284915447235107,0.11501669883728027,0.7934231758117676,0.11460447311401367
7,0.7686963081359863,0.12466049194335938,0.8448481559753418,0.14304661750793457
8,0.6836841106414795,0.1429002285003662,0.7565467357635498,0.14869356155395508
9,0.7942845821380615,0.15964674949645996,0.7486956119537354,0.16381192207336426
10,0.7958984375,0.14031219482421875,0.7599611282348633,0.17355084419250488
