,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.005581045150756836,0.0003990591063342519,0.0008793354034423828,1.977891563122454e-05,0.001,"(5,)",1,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 1}",0.5253164556962026,0.5126582278481012,0.5643459915611814,0.55168776371308,0.5434112301200908,0.5394839337877312,0.018454348932936227,343
1,0.007263994216918946,0.00013253342052149954,0.000865030288696289,1.2307942050858824e-05,0.001,"(5,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2}",0.5253164556962026,0.5126582278481012,0.5899870172022069,0.5581791626095423,0.5497403440441415,0.5471762414800388,0.026943440436903852,340
2,0.010795831680297852,0.00020171603928087999,0.0008557796478271485,4.864206478617322e-06,0.001,"(5,)",4,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 4}",0.5253164556962026,0.5126582278481012,0.5899870172022069,0.5581791626095423,0.5623985718922427,0.5497078870496591,0.027650835385764055,337
3,0.017666149139404296,0.00019587077506366213,0.0008609294891357422,7.63981822337925e-06,0.001,"(5,)",8,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 8}",0.5632911392405063,0.5759493670886076,0.6414313534566697,0.6287731256085686,0.6067023693605971,0.6032294709509898,0.029877073317732584,325
4,0.031683731079101565,0.00021193437194683544,0.0008798122406005859,1.8933737920728106e-05,0.001,"(5,)",16,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 16}",0.6835443037974683,0.6139240506329114,0.6866277182732877,0.7057773450178514,0.6696689386562804,0.6719084712755599,0.03119730111033875,322
5,0.059305858612060544,0.00046353181464546897,0.0008808135986328125,4.3221546911715165e-06,0.001,"(5,)",32,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 32}",0.8734177215189873,0.810126582278481,0.8789354105809802,0.859785783836417,0.7895163907822136,0.8423563777994157,0.03588158540254918,219
6,0.0914240837097168,0.005962490764662301,0.0008242607116699218,0.00012106193974393536,0.001,"(5,)",64,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 64}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
7,0.09060163497924804,0.006274508056160978,0.0007437229156494141,4.4797322012169055e-06,0.001,"(5,)",128,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 128}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
8,0.09091010093688964,0.007204161515506632,0.0007829666137695312,5.847878496317141e-05,0.001,"(5,)",256,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 256}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
9,0.09014601707458496,0.006032500146323827,0.0007778167724609375,4.984570198213038e-05,0.001,"(5,)",512,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 512}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
10,0.08995270729064941,0.006259393940662533,0.0007549285888671875,2.4610341356809006e-05,0.001,"(5,)",1024,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 1024}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
11,0.09087605476379394,0.006014462703306215,0.0008218765258789062,0.00016097463128013467,0.001,"(5,)",2048,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2048}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
12,0.0900313377380371,0.006108945404636923,0.0007732391357421875,3.925832496686375e-05,0.001,"(5,)",2100,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2100}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
13,0.09041895866394042,0.006291273293659339,0.0007450580596923828,5.40321940392124e-06,0.001,"(5,)",2200,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2200}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
14,0.09107556343078613,0.0065501049454293895,0.0008294105529785157,0.00012793029983957266,0.001,"(5,)",2300,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2300}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
15,0.0902320384979248,0.006133835147185586,0.0007416725158691407,5.535009397392301e-06,0.001,"(5,)",2400,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2400}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
16,0.08986268043518067,0.006256904264775283,0.0007640838623046875,5.59944496577247e-05,0.001,"(5,)",2500,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2500}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
17,0.08987021446228027,0.006186806055720746,0.0007573604583740234,3.7756531063902234e-05,0.001,"(5,)",2600,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2600}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
18,0.09013557434082031,0.00610004234953857,0.0007658004760742188,4.690633334416558e-05,0.001,"(5,)",2700,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2700}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
19,0.09130244255065918,0.005739555130734812,0.0008053302764892579,0.0001300763698428055,0.001,"(5,)",2800,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2800}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
20,0.0902369499206543,0.006297968726008654,0.0007776260375976562,4.7240726782045274e-05,0.001,"(5,)",2900,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 2900}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
21,0.09044079780578614,0.006219638977148718,0.0007454872131347657,1.41190508253246e-05,0.001,"(5,)",3000,"{'alpha': 0.001, 'hidden_layer_sizes': (5,), 'max_iter': 3000}",0.8860759493670886,0.879746835443038,0.9238883479389808,0.8790976955533919,0.8464784160986693,0.8830574488802337,0.024661464312199625,52
22,0.005508852005004883,9.148881091259738e-05,0.0008759498596191406,1.802419228351967e-05,0.001,"(10,)",1,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 1}",0.37341772151898733,0.36075949367088606,0.3358487504057124,0.3614086335605323,0.3838039597533268,0.363047711781889,0.016037861149675325,385
23,0.007314872741699219,1.712529303497311e-05,0.000875091552734375,2.5221305216830327e-05,0.001,"(10,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 2}",0.4177215189873418,0.3924050632911392,0.36124634858812066,0.3932976306394028,0.4221032132424537,0.39735475494969164,0.021781037534470766,370
24,0.010993289947509765,0.00021710665491893712,0.0008579254150390625,8.697018274842566e-06,0.001,"(10,)",4,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 4}",0.4430379746835443,0.4620253164556962,0.36124634858812066,0.4315157416423239,0.4539110678351184,0.43034728984096066,0.03604471624795008,364
25,0.018181562423706055,0.000326389374694344,0.0008698940277099609,1.6414283732566958e-05,0.001,"(10,)",8,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 8}",0.5759493670886076,0.6645569620253164,0.5589905874716,0.5847127555988315,0.6191983122362869,0.6006815968841285,0.037490687824690394,329
26,0.032442474365234376,0.0003314757984948724,0.0008631706237792969,4.857189780520189e-06,0.001,"(10,)",16,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 16}",0.8037974683544303,0.8291139240506329,0.8595423563777993,0.8216488153197015,0.8088283024991886,0.8245861733203504,0.019654740291450916,273
27,0.06114192008972168,0.0004547558353640822,0.0008607864379882813,1.1298726645704686e-05,0.001,"(10,)",32,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 32}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
28,0.07235703468322754,0.005060399822795845,0.0007507801055908203,8.343969044808211e-06,0.001,"(10,)",64,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 64}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
29,0.07212462425231933,0.004966783707819469,0.0007686614990234375,3.917994250914481e-05,0.001,"(10,)",128,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 128}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
30,0.0726140022277832,0.005589022023721467,0.000839996337890625,0.0001566011488442225,0.001,"(10,)",256,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 256}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
31,0.07204155921936035,0.0054022206552767635,0.0007652759552001954,4.537636113981321e-05,0.001,"(10,)",512,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 512}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
32,0.07188363075256347,0.0053572227890562015,0.000762319564819336,3.6123868884115664e-05,0.001,"(10,)",1024,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 1024}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
33,0.07220396995544434,0.0052673383291063315,0.0007419109344482422,2.6134852611627047e-06,0.001,"(10,)",2048,"{'alpha': 0.001, 'hidden_layer_sizes': (10,), 'max_iter': 2048}",0.8481012658227848,0.879746835443038,0.9177215189873418,0.904901006166829,0.8463161311262576,0.8793573515092502,0.02895895189444722,100
